#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,Alone,People I didn't know,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,What were the priorities in your life *before* COVID-19?,What were the priorities in your life *during* COVID-19?,What is your main source of income?,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,Other,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?,utm_source,Start Date (UTC),Submit Date (UTC),Network ID
51dmvml6te2bxypw851dm094sfqekd1f,Work,,Friends,,,,,1,,,,,Peaceful,,,,,Weekly,Weekly,,,Excited,,Peaceful,,,,,5,5,4,5,5,5,5,5,4,5,5,4,,,Indifferent,,,,,,Free,No,,,,,,,,,,,,,"Family,Relationships,Mental health,Spirituality,Physical health,Career & Finances","Relationships,Mental health,Physical health,Career & Finances,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,stressed,"Yes, my contract ended",Work environment,5,3,3,4,5,3,3,4,7,Manufacturing & Logistics,,Male,,24-30,I'm from New York State,White,Peaceful,,2022-06-29 17:55:29,2022-06-29 18:05:12,ed1105ee54
h2hi3bge42xt7hadidh2h2teu0jqbv1p,Work,Family,,,,,,2,,,Free,,,,,,,Weekly,Weekly,,,,,Peaceful,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,Free,No,,,,,,,,,,,,,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,1,Free,,,,,,,,,"No, it didn’t change",,3,3,3,3,3,3,3,3,8,Health Care,,Female,,24-30,I'm from somewhere else in the US,White,Free,,2022-06-29 14:28:25,2022-06-29 14:35:36,a6d5c58945
cxpgactxyu8x27hfl85y5cxpgacsdnef,Work,Family,,,,,,3,,,Free,,Peaceful,,,,,Weekly,Daily,,Stressed,,,,,,,Anxious,5,4,4,4,4,3,5,4,3,3,3,2,,Optimistic,,,,,,Anxious,,No,,,,,,,,,,,,,"Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family","Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,5,4,4,3,4,3,2,2,8,Information Technology,,Female,,30-40,I come from abroad,White,Free,,2022-06-29 04:39:14,2022-06-29 04:47:30,f1158f90df
airk356eg223kvpoce5le2o0airk35oe,Work,,,,,Alone,,,,,,,,,,,,Weekly,Weekly,,,,Hopeful,Peaceful,,,,Anxious,2,4,5,3,3,4,3,3,4,3,3,3,,,Indifferent,,Disappointed,,,,Free,No,,,,,,,,,,,,,"Career & Finances,Relationships,Physical health,Mental health,Family,Spirituality","Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,Free,,,,,,Optimistic,enthusiastic,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely,4,3,3,2,4,4,4,3,5,Financials,,Female,,24-30,I'm from New York State,Asian,Anxious,xxxxx,2022-06-29 02:39:06,2022-06-29 02:44:55,04f7590a62
047uuq9i9hngwbewst4r047us9ssgblm,Work,Family,,,,,,2,,,Free,,Peaceful,,,,,Weekly,Daily,,Stressed,,,,Lonely,,,,1,1,2,1,1,1,1,1,2,1,1,1,,,,,,Hostile,Threatened,Anxious,,No,,,,,,,,,,,,,"Mental health,Relationships,Physical health,Career & Finances,Spirituality,Family","Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family",,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"No, it didn’t change",,5,3,4,2,5,4,3,2,8,Food & Consumer Goods,,Female,,30-40,I come from abroad,Asian,Peaceful,,2022-06-29 01:05:42,2022-06-29 01:42:01,f1158f90df
5j9zt1bybqf6lqom5j9zhtuho5kr60cn,Work,Family,,,,,,4,,,,,Peaceful,,,,,Daily,Weekly,,Stressed,,,,,Vulnerable,,Anxious,4,5,4,4,5,3,4,3,4,4,4,4,,,,Vulnerable,Disappointed,,,Anxious,,No,,,,,,,,,,,,,"Mental health,Physical health,Career & Finances,Relationships,Spirituality,Family","Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,Vulnerable,,,,,"Yes, my company went out of business",Career prospects,4,3,5,4,4,5,4,3,9,Consumer Services & Retail,,Male,,24-30,I come from abroad,White,Stressed,,2022-06-28 23:15:52,2022-06-28 23:27:39,33ae84b7de
g2qd2h2p2keml4txg2qd9ni5l897bkzw,Work,Family,,,,,,4,Bored,Stressed,,,,,Disappointed,,,Daily,Weekly,,Stressed,,,,,Vulnerable,Disappointed,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,"Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality","Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,Aggresive,Frustrated,Disappointed,,,,,,"No, it didn’t change",,4,4,4,4,5,5,5,5,9,Information Technology,,Male,,50-60,I come from abroad,White,Stressed,,2022-06-28 22:47:44,2022-06-28 22:55:57,6cb93b4268
y9m8cdoieuzpg5aftpy9m82pj6rbf0rk,Work,Family,,,,,,5,Bored,Stressed,,,,,,,,Weekly,Daily,,,,,Peaceful,,,,,4,3,2,4,4,5,3,1,1,2,2,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,"Physical health,Mental health,Spirituality,Relationships,Career & Finances,Family","Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Business owner,1,,,,,,,Optimistic,enthusiastic,,"No, it didn’t change",,5,3,5,2,5,5,5,5,8,Financials,,Male,,24-30,I'm from New York State,White,Anxious,xxxxx,2022-06-28 17:21:58,2022-06-28 17:30:06,6cb43c5eef
n8jt3393m44laq2zxw8jj1n8jt3x19z2,Work,,,,,Alone,,,,,,,,,,,,Weekly,Every 3 months,,Stressed,,,,,Vulnerable,,Anxious,5,5,5,5,5,5,5,1,1,2,2,1,,,,Vulnerable,Disappointed,,,,,No,,,,,,,,,,,,,"Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family","Family,Physical health,Career & Finances,Relationships,Spirituality,Mental health",,,,,,,,,,,,,,,,,,,,Fixed term employed,0,Free,,,,,,,,,"No, it didn’t change",,4,3,2,3,5,5,5,5,8,Information Technology,,Female,,24-30,I come from abroad,Asian,Frustrated,,2022-06-28 17:21:56,2022-06-28 17:25:56,94eed888c3
7f7hmx8bwhro4ztrte17f7hfgjply27r,Work,,,,,Alone,,,,,,,,,,,,Daily,Weekly,,,,,,Lonely,,Disappointed,,5,3,3,5,3,4,5,3,3,5,3,4,,,,,Disappointed,,Threatened,,,,,"Yes, in 2021",,Stressed,,,,,,,,,"Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality","Career & Finances,Physical health,Family,Mental health,Relationships,Spirituality",,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,,,,,stressed,"No, it didn’t change",,3,3,3,2,4,4,4,3,7,Information Technology,,Male,,24-30,I'm from somewhere else in the US,White,Stressed,xxxxx,2022-06-28 17:18:19,2022-06-28 17:22:49,b4edf9614c
7avzy1mx98c2xgk7avzyifnbnhtw8d3d,Work,,,Pets,,,,,,,,Optimistic,Peaceful,,,,,Every 3 months,Every 3 months,,,,,Peaceful,,,,,4,1,1,2,2,1,2,1,1,1,1,2,,,,,,,,,Free,No,,,,,,,,,,,,,"Spirituality,Mental health,Physical health,Career & Finances,Family,Relationships","Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances",,,,,,,,,,,,,,,,,,,,Self - employed,1,Free,,,,,,,,,"Yes, due to smartworking",I wanted to work remotely,5,5,5,5,5,5,5,5,10,Food & Consumer Goods,,Male,,30-40,I'm from New York State,White,Free,xxxxx,2022-06-28 17:17:12,2022-06-28 17:21:02,6cb43c5eef
