#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,1 before COVID-19?,2 before COVID-19?,3 before COVID-19?,4 before COVID-19?,5 before COVID-19?,6 before COVID-19?,1 during COVID-19?,2 during COVID-19?,3 during COVID-19?,4 during COVID-19?,5 during COVID-19?,6 during COVID-19?,Main Income,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
US,Work,Family,,,,,,2,,,Free,,,,,,,Weekly,Weekly,,,,,Peaceful,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,Free,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,Free,,,,,,,,,"No, it didn’t change",,3,3,3,3,3,3,3,3,8,Health Care,,Female,24-30,I'm from somewhere else in the US,White,Free
US,Work,Family,,,,,,3,,,Free,,Peaceful,,,,,Weekly,Daily,,Stressed,,,,,,,Anxious,5,4,4,4,4,3,5,4,3,3,3,2,,Optimistic,,,,,,Anxious,,No,,,,,,,,,,,,,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,5,4,4,3,4,3,2,2,8,Information Technology,,Female,30-40,I come from abroad,White,Free
US,Work,,,,,,Alone,,,,,,,,,,,Weekly,Weekly,,,,Hopeful,Peaceful,,,,Anxious,2,4,5,3,3,4,3,3,4,3,3,3,,,Indifferent,,Disappointed,,,,Free,No,,,,,,,,,,,,,Career & Finances,Relationships,Physical health,Mental health,Family,Spirituality,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,Free,,,,,,Optimistic,enthusiastic,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely,4,3,3,2,4,4,4,3,5,Financials,,Female,24-30,I'm from New York State,Asian,Anxious
US,Work,Family,,,,,,2,,,Free,,Peaceful,,,,,Weekly,Daily,,Stressed,,,,Lonely,,,,1,1,2,1,1,1,1,1,2,1,1,1,,,,,,Hostile,Threatened,Anxious,,No,,,,,,,,,,,,,Mental health,Relationships,Physical health,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"No, it didn’t change",,5,3,4,2,5,4,3,2,8,Food & Consumer Goods,,Female,30-40,I come from abroad,Asian,Peaceful
US,Work,Family,,,,,,4,,,,,Peaceful,,,,,Daily,Weekly,,Stressed,,,,,Vulnerable,,Anxious,4,5,4,4,5,3,4,3,4,4,4,4,,,,Vulnerable,Disappointed,,,Anxious,,No,,,,,,,,,,,,,Mental health,Physical health,Career & Finances,Relationships,Spirituality,Family,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,Vulnerable,,,,,"Yes, my company went out of business",Career prospects,4,3,5,4,4,5,4,3,9,Consumer Services & Retail,,Male,24-30,I come from abroad,White,Stressed
US,Work,Family,,,,,,4,Bored,Stressed,,,,,Disappointed,,,Daily,Weekly,,Stressed,,,,,Vulnerable,Disappointed,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,Aggresive,Frustrated,Disappointed,,,,,,"No, it didn’t change",,4,4,4,4,5,5,5,5,9,Information Technology,,Male,50-60,I come from abroad,White,Stressed
US,Work,Family,,,,,,5,Bored,Stressed,,,,,,,,Weekly,Daily,,,,,Peaceful,,,,,4,3,2,4,4,5,3,1,1,2,2,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Mental health,Spirituality,Relationships,Career & Finances,Family,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Business owner,1,,,,,,,Optimistic,enthusiastic,,"No, it didn’t change",,5,3,5,2,5,5,5,5,8,Financials,,Male,24-30,I'm from New York State,White,Anxious
US,Work,,,,,,Alone,,,,,,,,,,,Weekly,Every 3 months,,Stressed,,,,,Vulnerable,,Anxious,5,5,5,5,5,5,5,1,1,2,2,1,,,,Vulnerable,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family,Family,Physical health,Career & Finances,Relationships,Spirituality,Mental health,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,Free,,,,,,,,,"No, it didn’t change",,4,3,2,3,5,5,5,5,8,Information Technology,,Female,24-30,I come from abroad,Asian,Frustrated
US,Work,,,,,,Alone,,,,,,,,,,,Daily,Weekly,,,,,,Lonely,,Disappointed,,5,3,3,5,3,4,5,3,3,5,3,4,,,,,Disappointed,,Threatened,,,,,"Yes, in 2021",,Stressed,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Physical health,Family,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,,,,,stressed,"No, it didn’t change",,3,3,3,2,4,4,4,3,7,Information Technology,,Male,24-30,I'm from somewhere else in the US,White,Stressed
US,Work,,,Pets,,,,,,,,Optimistic,Peaceful,,,,,Every 3 months,Every 3 months,,,,,Peaceful,,,,,4,1,1,2,2,1,2,1,1,1,1,2,,,,,,,,,Free,No,,,,,,,,,,,,,Spirituality,Mental health,Physical health,Career & Finances,Family,Relationships,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,,,,,,,,,,,,,,,,,,,,Self - employed,1,Free,,,,,,,,,"Yes, due to smartworking",I wanted to work remotely,5,5,5,5,5,5,5,5,10,Food & Consumer Goods,,Male,30-40,I'm from New York State,White,Free
