#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,1 before COVID-19?,2 before COVID-19?,3 before COVID-19?,4 before COVID-19?,5 before COVID-19?,6 before COVID-19?,1 during COVID-19?,2 during COVID-19?,3 during COVID-19?,4 during COVID-19?,5 during COVID-19?,6 during COVID-19?,Main Income,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
US,Study,Family,,,,,,3,,,,,,,,Frustrated,,Daily,Daily,,,Excited,,,,,,Anxious,5,4,5,4,5,4,,,,,,,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Relationships,Mental health,Physical health,Family,Spirituality,Mental health,Career & Finances,Family,Relationships,Physical health,Spirituality,Family,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,5,4,3,4,8,,Built Environment and Design,Female,18-20,I come from abroad,White,Distant
US,Study,Family,,,,,,4,Bored,Stressed,,,,,,,Threatened,Weekly,Daily,,,,,,,,Disappointed,,5,3,4,5,5,3,4,4,3,4,4,4,,,,,,,Threatened,,Free,No,,,,,,,,,,,,,Physical health,Relationships,Career & Finances,Mental health,Spirituality,Family,Physical health,Mental health,Relationships,Spirituality,Family,Career & Finances,Job,,,,,,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,5,5,5,8,,Studies in Creative Arts and Writing,Female,24-30,I come from abroad,Asian,Distant
US,Study,Family,,,,,,2,,,Free,Optimistic,Peaceful,,,,,Daily,Weekly,Bored,,,,,Lonely,Vulnerable,,,5,5,5,5,5,5,5,2,2,5,5,5,,,,,,Hostile,Threatened,Anxious,,,,,"Yes, in 2022",Stressed,,,Lonely,,,Frustrated,,,Career & Finances,Family,Relationships,Mental health,Physical health,Spirituality,Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Family,,Stressed,,,,,Disappointed,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,5,5,5,10,,Built Environment and Design,Female,20-24,I come from abroad,White,Frustrated
US,Work,Family,,,,,,3,,,Free,,Peaceful,,,,,Weekly,Weekly,,,,,,Lonely,,,,5,5,5,5,5,,5,3,3,3,3,4,,,Indifferent,,,,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Mental health,Relationships,Family,Spirituality,Physical health,Family,Mental health,Physical health,Relationships,Spirituality,Career & Finances,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,Disappointed,,,,,stressed,"Yes, my contract ended",Work environment,5,5,3,3,5,5,5,5,7,Education,,Male,20-24,I come from abroad,White,Frustrated
US,Study,Family,,,,,,4,,Stressed,,,Peaceful,,,,,Daily,Daily,,Stressed,,,,,,,,5,4,3,3,4,4,5,5,2,4,4,4,,,,,,,Threatened,,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,Anxious,,Family,Relationships,Physical health,Mental health,Spirituality,Career & Finances,Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Scholarship,,Stressed,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,2,2,3,5,5,4,3,8,,Built Environment and Design,Female,20-24,I come from abroad,Multiracial,Frustrated
US,Study,Family,,Pets,,,,,,Stressed,,,,,Disappointed,Frustrated,,Monthly,Monthly,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Family,,,Free,Proud,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,5,5,3,8,,Built Environment and Design,Female,20-24,I come from abroad,White,Free
US,Study,Family,,,,,,4,,Stressed,,,,,Disappointed,,,Weekly,Daily,Bored,,,,,,,,,5,2,1,4,4,5,5,1,1,4,4,5,,,Indifferent,,,,,,,,,,"Yes, in 2022",,,,,,Disappointed,,,,Career & Finances,Relationships,Mental health,Physical health,Family,Spirituality,Career & Finances,Relationships,Physical health,Mental health,Family,Spirituality,Job,,,,,,Lonely,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,4,4,3,2,8,,Engineering and Technology,Female,20-24,I come from abroad,White,Disappointed
US,Study,Family,,,,,,2,,,Free,,Peaceful,,,,,Weekly,Daily,,,,,,,,Disappointed,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Family,Physical health,Mental health,Career & Finances,Relationships,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,,,Free,,,,,,,Yes because I dropped out university,,Change in learning modes,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,2,2,7,,Studies in Creative Arts and Writing,Male,20-24,I come from abroad,Asian,Peaceful
US,Study,Family,,,,,,3,Bored,,,,,,,Frustrated,,Daily,Monthly,,,,Hopeful,,,,,,5,5,4,4,5,5,3,4,3,4,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Relationships,Mental health,Career & Finances,Spirituality,Family,Physical health,Mental health,Spirituality,Family,Career & Finances,Relationships,Physical health,Family,,Stressed,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,5,5,4,5,7,,Built Environment and Design,Male,20-24,I come from abroad,White,Frustrated
US,Study,Family,,,,,,1,Bored,,,,Peaceful,,,,,Weekly,Weekly,Bored,,,Hopeful,,,Vulnerable,,,4,4,2,4,4,3,4,2,2,4,4,3,,,,,,Hostile,Threatened,Anxious,,,,,"Yes, in 2022",,,,,Vulnerable,,,,,Spirituality,Physical health,Career & Finances,Relationships,Mental health,Family,Spirituality,Career & Finances,Physical health,Mental health,Relationships,Family,Job,,Stressed,,,,,,Frustrated,,Yes because I changed my field of study,,Change in learning modes,,,,,,,,,,,,,,,,,,,,5,4,3,3,5,4,5,4,8,,Studies in Creative Arts and Writing,Female,20-24,I come from abroad,White,Stressed
US,Study,Family,,,,,,5,,Stressed,,,,,,Frustrated,,Daily,Daily,,,,,,Lonely,,,Anxious,5,3,3,4,4,3,5,2,2,4,3,3,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Mental health,Physical health,Family,Spirituality,Career & Finances,Relationships,Mental health,Spirituality,Physical health,Relationships,Family,Career & Finances,Family,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,5,5,5,4,3,,Built Environment and Design,Female,20-24,I come from abroad,Asian,Distant
US,Study,Family,,,,,,1,,,,Optimistic,,,,,,Daily,Daily,,Stressed,,,,,Vulnerable,Disappointed,,5,5,5,5,5,5,5,5,3,5,4,5,,,,Vulnerable,,Hostile,Threatened,,,,,,"Yes, in 2022",,,,Lonely,,,,Anxious,,Relationships,Family,Physical health,Career & Finances,Spirituality,Mental health,Career & Finances,Family,Relationships,Mental health,Spirituality,Physical health,Other / I prefer not to answer,,Stressed,,,,,,Frustrated,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,5,5,5,5,9,,Built Environment and Design,Female,20-24,I come from abroad,White,Vulnerable
US,Study,Family,,,,,,3,,,,Optimistic,Peaceful,,,,,Weekly,Daily,,,,Hopeful,Peaceful,,,,,5,5,4,5,5,5,5,1,1,5,2,5,,,,,Disappointed,Hostile,Threatened,,,,"Yes, in 2020",,"Yes, in 2022",,,,,Vulnerable,,,Anxious,Threatened,Relationships,Mental health,Family,Spirituality,Physical health,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Career & Finances,Job,,,,,Optimistic,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5,5,5,5,10,,Built Environment and Design,Not-binary,20-24,I come from abroad,White,Optimistic
US,Study,Family,,,,,,3,,Stressed,,,Peaceful,,,Frustrated,,Daily,Daily,,,,Hopeful,,Lonely,,Disappointed,,5,4,4,5,4,5,5,4,4,5,4,4,,,,,Disappointed,,Threatened,Anxious,,,,,"Yes, in 2022",,,,Lonely,,,Frustrated,,,Relationships,Physical health,Mental health,Family,Career & Finances,Spirituality,Physical health,Mental health,Relationships,Family,Career & Finances,Spirituality,Family,,,,,,Lonely,Disappointed,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,5,5,5,5,9,,Built Environment and Design,Female,24-30,I come from abroad,White,Optimistic
US,Study,Family,,,,,,4,Bored,,,,Peaceful,,,,,Weekly,Daily,,,,,,Lonely,,,Anxious,4,3,2,5,4,4,4,3,1,5,4,4,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Mental health,Physical health,Career & Finances,Relationships,Family,Spirituality,Physical health,Mental health,Relationships,Family,Spirituality,Career & Finances,Family,Bored,Stressed,,Proud,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,2,1,1,4,4,3,3,8,,Built Environment and Design,Male,20-24,I come from abroad,White,Lonely
US,Study,Family,,,,,,3,Bored,,,,,,,Frustrated,,Daily,Monthly,,,Excited,,Peaceful,,,,,3,4,3,2,3,4,2,1,1,2,2,3,,Optimistic,,,,,,,,,,"Yes, in 2021",,,,,Lonely,,Disappointed,Frustrated,,,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family,Bored,Stressed,,,,Lonely,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,4,4,4,10,,Studies in Creative Arts and Writing,Female,20-24,I come from abroad,White,Lonely
US,Study,Family,,,,,,4,Bored,Stressed,,,,,,,,Weekly,Monthly,Bored,Stressed,Excited,,,,,,,3,2,3,5,1,,2,2,2,4,2,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Relationships,Career & Finances,Mental health,Family,Spirituality,Physical health,Relationships,Career & Finances,Mental health,Family,Spirituality,Physical health,Family,,Stressed,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,5,5,5,10,,Built Environment and Design,Male,20-24,I come from abroad,White,Free
US,Study,Family,,,,,,2,,,Free,,,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,4,4,5,5,4,,,,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Relationships,Mental health,Physical health,Family,Career & Finances,Spirituality,Relationships,Physical health,Mental health,Family,Career & Finances,Spirituality,Family,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,4,3,3,4,4,4,4,5,,Built Environment and Design,Male,24-30,I come from abroad,White,Vulnerable
US,Study,Family,,,,,,4,Bored,,Free,,,,,,Threatened,Weekly,Weekly,,,Excited,,,,,,,5,4,3,5,5,5,5,3,3,5,4,4,,,,,,Hostile,,,,No,,,,,,,,,,,,,Career & Finances,Relationships,Family,Physical health,Mental health,Spirituality,Family,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Scholarship,,Stressed,,,,,,Frustrated,Anxious,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,5,3,3,4,5,5,4,5,8,,Built Environment and Design,Female,20-24,I come from abroad,White,Lonely
US,Study,Family,,,,,,3,Bored,Stressed,,,,,,,,Daily,Daily,,,,Hopeful,,Lonely,,,,5,4,4,5,4,5,4,4,4,4,4,4,,,,,,Hostile,,,,No,,,,,,,,,,,,,Family,Relationships,Career & Finances,Mental health,Physical health,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Family,Bored,,,Proud,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,4,2,5,5,7,,Built Environment and Design,Male,20-24,I come from abroad,White,Vulnerable
US,Study,Family,,,,,,4,,,Free,Optimistic,Peaceful,,,,,Daily,Daily,,,,Hopeful,,,Vulnerable,,Anxious,5,4,4,4,4,4,5,2,1,5,3,2,,,,,Disappointed,Hostile,Threatened,,,,,"Yes, in 2021",,Stressed,,,Lonely,,,Frustrated,,,Career & Finances,Physical health,Family,Relationships,Mental health,Spirituality,Mental health,Family,Physical health,Spirituality,Relationships,Career & Finances,Family,,Stressed,,Proud,Optimistic,,,,,Yes because I changed my field of study,Change in personal interests,Change in learning modes,,,,Economic Difficulties,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,9,,Built Environment and Design,Male,18-20,I come from abroad,White,Frustrated
US,Study,Family,,,,,,2,Bored,,,,Peaceful,,,Frustrated,,Daily,Daily,,,Excited,Hopeful,,,,,Anxious,5,5,3,5,3,5,5,5,2,5,5,3,,,,,Disappointed,Hostile,Threatened,,,,"Yes, in 2020",,"Yes, in 2022",,,,,Vulnerable,,Frustrated,Anxious,,Career & Finances,Physical health,Family,Relationships,Mental health,Spirituality,Family,Mental health,Relationships,Career & Finances,Physical health,Spirituality,Family,,Stressed,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,5,3,1,2,6,,Built Environment and Design,Female,24-30,I come from abroad,White,Lonely
US,Both,Family,,Pets,,,Alone,,,,,,,,,,,Daily,Daily,,,Excited,,Peaceful,,,,,5,2,1,5,4,5,5,2,1,5,2,5,,,,,Disappointed,,,,,,"Yes, in 2020",,,,,Peaceful,,,,,,,Career & Finances,Relationships,Family,Mental health,Spirituality,Physical health,Physical health,Relationships,Mental health,Family,Career & Finances,Spirituality,Family,,Stressed,,,,,Disappointed,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,3,5,1,1,5,5,1,1,8,,Built Environment and Design,Male,20-24,I come from abroad,White,Free
US,Study,Family,,,,,,2,Bored,Stressed,,,,,,Frustrated,,Weekly,Monthly,,Stressed,,,,Lonely,,,Anxious,5,5,4,4,5,5,5,4,3,4,4,5,,,,,,Hostile,Threatened,Anxious,,No,,,,,,,,,,,,,Career & Finances,Relationships,Mental health,Physical health,Family,Spirituality,Mental health,Career & Finances,Physical health,Spirituality,Relationships,Family,Family,,Stressed,,,,,Disappointed,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,4,4,2,1,3,,Studies in Creative Arts and Writing,Female,20-24,I come from abroad,White,Anxious
US,Study,Family,,,,,,3,,,Free,Optimistic,Peaceful,,,,,Weekly,Daily,,,Excited,Hopeful,,,Vulnerable,,,5,5,5,5,5,5,5,,5,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,,,"Yes, in 2022",,Optimistic,Peaceful,,,,Frustrated,,,Mental health,Career & Finances,Family,Relationships,Physical health,Spirituality,Mental health,Career & Finances,Physical health,Family,Relationships,Spirituality,Other / I prefer not to answer,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,4,2,4,2,4,4,3,4,7,,Engineering and Technology,Male,20-24,I come from abroad,White,Anxious
US,Both,Family,,,,,,3,Bored,Stressed,,,,,Disappointed,,,Daily,Daily,,,,,,Lonely,Vulnerable,,,5,3,2,5,3,4,1,1,1,5,1,3,,,,,Disappointed,,,,,,,,"Yes, in 2022",,Optimistic,,,,,,,,Physical health,Family,Relationships,Mental health,Career & Finances,Spirituality,Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality,Family,Bored,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,5,5,5,5,8,,Built Environment and Design,Female,24-30,I come from abroad,White,Frustrated
US,Study,Family,,,,,,3,Bored,,,,,Lonely,,,,Daily,Daily,,Stressed,,,,Lonely,,Disappointed,,5,5,5,5,5,5,5,5,4,5,5,3,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,,Stressed,,,,,,Frustrated,Anxious,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,4,3,3,5,4,4,4,5,5,,Studies in Creative Arts and Writing,Male,20-24,I come from abroad,White,Stressed
US,Work,Family,,,,,,3,,Stressed,,,Peaceful,,,,,Weekly,Daily,Bored,,,Hopeful,Peaceful,,,,,5,4,3,4,4,4,4,4,3,5,4,3,,,,,Disappointed,,,Anxious,,No,,,,,,,,,,,,,Mental health,Relationships,Family,Physical health,Career & Finances,Spirituality,Family,Career & Finances,Relationships,Mental health,Physical health,Spirituality,,,,,,,,,,,,,,,,,,,,Unemployed,0,,,Frustrated,,,,,,,Other / I prefer not to answer,,3,3,2,2,4,4,3,2,8,Media & Entertainment,,Female,18-20,I come from abroad,White,Distant
US,Study,Family,,Pets,,,,,Bored,Stressed,,,Peaceful,,,,,Weekly,Weekly,,,,Hopeful,,Lonely,,,,5,5,5,5,5,5,5,3,3,5,3,5,,,Indifferent,,,,,,,,,"Yes, in 2021","Yes, in 2022",,,,,,,Frustrated,Anxious,,Career & Finances,Mental health,Spirituality,Physical health,Relationships,Family,Relationships,Spirituality,Career & Finances,Family,Mental health,Physical health,Scholarship,,Stressed,,,,,Disappointed,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,5,4,4,4,6,,Built Environment and Design,Male,24-30,I'm from somewhere else in the US,White,Anxious
US,Work,,,,,,Alone,,,,,,,,,,,Weekly,Daily,,,,Hopeful,,,,,,5,5,1,5,5,5,5,4,1,5,3,3,,,,,,Hostile,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Self - employed,0,,,,,Vulnerable,,,,stressed,"Yes, I quit my job",I wanted to work remotely,5,5,5,4,5,5,5,4,7,Food & Consumer Goods,,Male,30-40,I come from abroad,Other / I prefer not to answer,Stressed
US,Study,,,Pets,Roommates,,,,,,Free,,Peaceful,,,Frustrated,,Daily,Daily,,,,Hopeful,Peaceful,,,,,5,5,5,5,5,4,5,4,3,5,5,4,,Optimistic,,,,,,Anxious,,No,,,,,,,,,,,,,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family,Physical health,Mental health,Spirituality,Career & Finances,Relationships,Family,,Stressed,,,,,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,4,2,1,2,4,4,3,2,4,,Engineering and Technology,Female,20-24,I come from abroad,Asian,Frustrated
US,Work,,,,,,Alone,,,,,,,,,,,Weekly,Monthly,,,,,,,,Disappointed,,1,1,1,,,,2,2,2,2,,,,,,,Disappointed,,Threatened,,,,,,"Yes, in 2022",,,,,,Disappointed,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,Disappointed,Vulnerable,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,1,1,1,1,2,3,2,2,10,Information Technology,,Male,40-50,I'm from New York State,White,Frustrated
US,Study,,,,,,Alone,,,,,,,,,,,Weekly,Every 3 months,,,Excited,,,,Vulnerable,,,,,,,,,1,1,1,1,,,,,,,,,Threatened,,,,,,"Yes, in 2022",,,,,,Disappointed,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Loan,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,3,3,9,,Information and Computing Sciences,Female,20-24,I'm from New York State,Hispanic / Latino,Frustrated
US,Study,,,Pets,,,,,,,,,,,,,Threatened,Weekly,Weekly,,,,,,,,Disappointed,,,1,1,,,,2,2,2,2,2,,,,,Vulnerable,,,,,,,,,"Yes, in 2022",,,,,,Disappointed,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Loan,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,3,10,,Studies in Creative Arts and Writing,Male,20-24,I'm from New York State,Black or African American,Frustrated
US,Work,,,Pets,,,,,,,,,,,,,Threatened,Monthly,Monthly,,,,,,,,Disappointed,,1,1,1,,,,4,4,4,,,,,,Indifferent,,,,Threatened,,,,,,"Yes, in 2022",,,,,Vulnerable,,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Business owner,1,,,Frustrated,,,,,,,"No, it didn’t change",,1,1,1,1,2,3,2,2,9,Consumer Services & Retail,,Male,30-40,I'm from New York State,White,Frustrated
US,Work,,Friends,,,,,1,Bored,,,,,,,,,Monthly,Every 3 months,Bored,,,,,,,,,1,1,1,,,,1,1,1,,,,,,,Vulnerable,,,Threatened,,,,,"Yes, in 2021",,,,,Lonely,,Disappointed,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,Frustrated,,,,,,,"No, it didn’t change",,1,1,1,1,2,2,2,2,8,Information Technology,,Male,30-40,I'm from New York State,Black or African American,Frustrated
US,Study,,,Pets,,,,,,,,,,,Disappointed,,,Weekly,Weekly,,,,,,Lonely,Vulnerable,,,1,1,1,,,,2,2,,,,,,,,,Disappointed,,,,,,,"Yes, in 2021",,,,,,Vulnerable,,Frustrated,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Loan,Bored,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,1,1,1,1,9,,Mathematical Sciences,Male,20-24,I'm from New York State,White,Vulnerable
US,Work,Family,,,,,,2,,,,,,Lonely,Disappointed,,,Monthly,Monthly,,Stressed,,,,,Vulnerable,,,1,1,1,,,,2,2,,,,,,,,Vulnerable,Disappointed,,,,,,,,"Yes, in 2022",Stressed,,,,,Disappointed,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,Frustrated,,,,,,,"No, it didn’t change",,1,1,1,1,2,2,2,2,9,Food & Consumer Goods,,Male,24-30,I'm from New York State,White,Frustrated
US,Study,,,,,,Alone,,,,,,,,,,,Every 3 months,Every 3 months,,,,,,,,Disappointed,,,,,2,,,,2,2,,,,,,,Vulnerable,,,Threatened,,,,,"Yes, in 2021",,,,,,Vulnerable,,,,Threatened,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,Lonely,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,1,1,1,1,8,,Chemical Sciences,Male,24-30,I'm from New York State,White,Frustrated
US,Study,,,,,,Alone,,,,,,,,,,,Monthly,Monthly,,Stressed,,,,,,Disappointed,,1,1,1,,4,5,1,1,,,,,Proud,,,Vulnerable,,,,,,,,"Yes, in 2021",,,,,,,Disappointed,Frustrated,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Loan,,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,10,,Chemical Sciences,Male,20-24,I'm from New York State,Black or African American,Frustrated
US,Study,,,,,,Alone,,,,,,,,,,,Monthly,Monthly,,,Excited,,,,Vulnerable,,,1,,1,,1,1,2,2,,,2,2,,,,Vulnerable,,,Threatened,,,,,"Yes, in 2021",,Stressed,,,,,,,,Threatened,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,Loan,,,,,,Lonely,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,7,,Studies in Human Society,Male,20-24,I'm from New York State,White,Frustrated
US,Study,,,,,,Alone,,,,,,,,,,,Weekly,Weekly,,,,,,,,Disappointed,,1,1,1,1,,,2,4,4,4,2,,,,,Vulnerable,,,Threatened,,,,,"Yes, in 2021",,,,,,Vulnerable,,Frustrated,,,Family,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Loan,,,,,,,Disappointed,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,8,,Biological Sciences,Male,20-24,I'm from New York State,White,Frustrated
US,Study,,,Pets,,,,,,,,,,,,Frustrated,,Monthly,Monthly,,,,,,,,Disappointed,,1,1,1,1,1,1,2,2,2,2,2,2,,,,Vulnerable,Disappointed,,,,,,,"Yes, in 2021",,,,,,,,,,Threatened,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Scholarship,,,,,Optimistic,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,8,,Built Environment and Design,Male,20-24,I'm from New York State,Black or African American,Frustrated
US,Study,Family,,,,,,3,,Stressed,,,,Lonely,,Frustrated,,Weekly,Monthly,,,Excited,Hopeful,,,Vulnerable,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Loan,Bored,Stressed,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,2,3,1,7,,Economics,Female,20-24,I come from abroad,Asian,Anxious
US,Study,,Friends,,,,,1,,Stressed,,,,,,,,Monthly,Weekly,,,,,,,Vulnerable,,,1,1,1,1,,,3,3,3,3,,,,,,Vulnerable,Disappointed,,,,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Scholarship,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,3,3,3,7,,Mathematical Sciences,Male,20-24,I'm from New York State,White,Frustrated
